datasheet_id|line|wargear_id|cost|is_index_wargear|model|is_upgrade|
000000001|1|000000030|0|false||false|
000000001|2|000000014|0|false||false|
000000001|3|000000015|0|false||false|
000000001|4|000000020|0|false||false|
000000001|5|000000069|5|false||false|
000000001|6|000000046|0|false||false|
000000001|7|000000060|10|false||false|
000000001|8|000000034|0|false||false|
000000002|1|000000002|0|false||false|
000000002|2|000003505|0|false||false|
000000003|1|000000007|0|false||false|
000000003|2|000000046|0|false||false|
000000003|3|000000055|0|false||false|
000000003|4|000000060|0|false||false|
000000004|1|000000067|0|false||false|
000000005|1|000000030|0|false||false|
000000005|2|000000048|0|false||false|
000000005|3|000000055|10|false||false|
000000005|4|000000034|0|false||false|
000000006|1|000000014|0|false||false|
000000006|2|000000015|0|false||false|
000000006|3|000000017|0|false||false|
000000006|4|000000020|0|false||false|
000000006|5|000000040|10|false||false|
000000006|6|000000055|5|false||false|
000000006|7|000000060|0|false||false|
000000007|1|000000007|0|false||false|
000000007|2|000000026|0|false||false|
000000007|3|000000030|0|false||false|
000000007|4|000000048|0|false||false|
000000007|5|000000055|10|false||false|
000000007|6|000000034|0|false||false|
000000008|1|000002723|0|false||false|
000000008|2|000002724|0|false||false|
000000008|3|000000034|0|false||false|
000000009|1|000000030|0|false||false|
000000009|2|000000024|0|false||false|
000000009|3|000000048|0|false||false|
000000009|4|000000034|0|false||false|
000000010|1|000002137|0|false||false|
000000010|2|000000030|0|false||false|
000000010|3|000000048|0|false||false|
000000010|4|000000065|0|false||false|
000000011|1|000000059|0|false||false|
000000011|2|000000034|0|false||false|
000000012|1|000000019|0|false||false|
000000012|2|000000048|0|false||false|
000000012|3|000000055|10|false||false|
000000013|1|000000060|0|false||false|
000000013|2|000000064|0|false||false|
000000014|1|000000007|0|false||false|
000000014|2|000000055|10|false||false|
000000014|3|000000060|0|false||false|
000000014|4|000000064|0|false||false|
000000015|1|000000030|0|false||false|
000000015|2|000000060|0|false||false|
000000015|3|000000064|0|false||false|
000000016|1|000000030|0|false||false|
000000016|2|000000002|5|false||false|
000000016|3|000000014|10|false||false|
000000016|4|000000015|10|false||false|
000000016|5|000000025|10|false||false|
000000016|6|000000027|0|false||false|
000000016|7|000000046|5|false||false|
000000016|8|000000048|0|false||false|
000000016|9|000000055|10|false||false|
000000016|10|000000060|10|false||false|
000000016|11|000000061|5|false||false|
000000016|12|000000034|0|false||false|
000000017|1|000000011|0|false||false|
000000018|1|000000030|0|false||false|
000000018|2|000000051|0|false||false|
000000018|3|000000053|0|false||false|
000000019|1|000000002|0|false||false|
000000019|2|000003515|0|false||false|
000000019|3|000000017|5|false||false|
000000019|4|000000025|5|false||false|
000000020|1|000000022|0|false||false|
000000020|2|000000025|0|false||false|
000000020|3|000000063|0|false||false|
000000021|1|000000030|0|false||false|
000000021|2|000000014|10|false||false|
000000021|3|000000015|10|false||false|
000000021|4|000000046|3|false||false|
000000021|5|000000048|0|false||false|
000000021|6|000000055|10|false||false|
000000021|7|000000060|8|false||false|
000000021|8|000000061|5|false||false|
000000021|9|000000034|0|false||false|
000000022|1|000000020|0|false||false|
000000022|2|000000066|0|false||false|
000000022|2|000000066|0|false||false|
000000022|3|000000034|0|false||false|
000000024|1|000000014|5|false||false|
000000024|2|000000015|10|false||false|
000000024|3|000000020|0|false||false|
000000024|4|000000055|5|false||false|
000000024|5|000000060|0|false||false|
000000024|6|000000034|0|false||false|
000000025|1|000003516|5|false||false|
000000025|2|000000030|0|false||false|
000000025|3|000000002|5|false||false|
000000025|4|000003515|5|false||false|
000000025|5|000000020|5|false||false|
000000025|6|000000025|10|false||false|
000000025|7|000000046|5|false||false|
000000025|8|000003517|5|false||false|
000000025|9|000000048|0|false||false|
000000025|10|000000060|5|false||false|
000000025|11|000000034|0|false||false|
000000026|1|000000002|0|false||false|
000000026|2|000000052|5|false||false|
000000026|3|000000068|5|false||false|
000000027|1|000000030|0|false||false|
000000027|2|000000048|0|false||false|
000000027|3|000000060|10|false||false|
000000027|4|000000034|0|false||false|
000000028|1|000000030|0|false||false|
000000028|2|000000016|0|false||false|
000000028|3|000000017|0|false||false|
000000028|4|000000062|0|false||false|
000000028|5|000000034|0|false||false|
000000029|1|000000036|10|false||false|
000000030|1|000000029|15|false||false|
000000030|2|000000036|0|false||false|
000000030|3|000000043|0|false||false|
000000031|1|000000002|0|false||false|
000000031|2|000000036|0|false||false|
000000032|1|000000031|0|false||false|
000000032|2|000000035|0|false||false|
000000032|3|000000036|10|false||false|
000000032|4|000000041|10|false||false|
000000032|5|000000044|0|false||false|
000000033|1|000000030|0|false||false|
000000033|2|000000007|0|false||false|
000000033|3|000000046|5|false||false|
000000033|4|000000048|0|false||false|
000000033|5|000000060|10|false||false|
000000034|1|000000023|24|false||false|
000000034|2|000000043|0|false||false|
000000035|1|000000028|0|false||false|
000000036|1|000000023|24|false||false|
000000036|2|000000043|0|false||false|
000000037|1|000000013|0|false||false|
000000037|2|000000021|0|false||false|
000000037|3|000000045|0|false||false|
000000038|1|000000004|0|false||false|
000000038|2|000000018|5|false||false|
000000038|3|000000031|0|false||false|
000000038|4|000000042|0|false||false|
000000039|1|000000002|5|false||false|
000000039|2|000000013|5|false||false|
000000039|3|000000070|15|false||false|
000000039|4|000000021|5|false||false|
000000039|5|000000045|5|false||false|
000000039|6|000000049|15|false||false|
000000039|7|000000052|5|false||false|
000000039|8|000000068|5|false||false|
000000040|1|000000002|0|false||false|
000000040|2|000000017|10|false||false|
000000040|3|000000025|10|false||false|
000000040|4|000000028|5|false||false|
000000040|5|000000050|0|false||false|
000000041|1|000000002|0|false||false|
000000041|2|000000012|0|false||false|
000000041|3|000000025|15|false||false|
000000041|4|000000028|5|false||false|
000000041|5|000000054|0|false||false|
000000042|1|000000017|0|false||false|
000000042|2|000002142|0|false||false|
000000042|3|000000025|0|false||false|
000000042|4|000000043|0|false||false|
000000042|5|000000056|0|false||false|
000000043|1|000000010|0|false||false|
000000043|2|000000025|0|false||false|
000000043|3|000000028|0|false||false|
000000043|4|000000043|0|false||false|
000000043|5|000000056|0|false||false|
000000044|1|000000002|0|false||false|
000000044|2|000000008|0|false||false|
000000044|3|000000017|5|false||false|
000000044|4|000000025|5|false||false|
000000045|1|000000030|0|false||false|
000000045|2|000000032|0|false||false|
000000045|3|000000048|0|false||false|
000000045|4|000000034|0|false||false|
000000046|1|000000002|0|false||false|
000000046|2|000000009|0|false||false|
000000046|3|000000028|0|false||false|
000000046|4|000000037|0|false||false|
000000046|5|000000038|0|false||false|
000000046|6|000000043|0|false||false|
000000046|7|000000058|0|false||false|
000000047|1|000000030|0|false||false|
000000047|2|000000002|0|false||false|
000000047|3|000000072|0|false||false|
000000047|4|000000034|0|false||false|
000000048|1|000000030|0|false||false|
000000048|2|000000046|0|false||false|
000000048|3|000000073|0|false||false|
000000048|4|000000034|0|false||false|
000000049|1|000000002|0|false||false|
000000049|2|000000012|0|false||false|
000000049|3|000000017|10|false||false|
000000049|4|000000025|10|false||false|
000000049|5|000000028|10|false||false|
000000050|1|000000002|0|false||false|
000000050|2|000000043|0|false||false|
000000050|3|000000027|0|false||false|
000000050|4|000000028|5|false||false|
000000050|5|000000012|0|false||false|
000000050|6|000000025|10|false||false|
000000050|7|000000017|10|false||false|
000000051|1|000000013|15|false||false|
000000051|2|000000075|0|false||false|
000000052|1|000003331|0|false||false|
000000052|2|000003332|0|false||false|
000000052|3|000000070|0|false||false|
000000053|1|000000002|5|false||false|
000000053|2|000000081|0|false||false|
000000053|3|000000025|10|false||false|
000000053|4|000000049|20|false||false|
000000053|5|000000052|5|false||false|
000000053|6|000000068|5|false||false|
000000054|1|000000002|0|false||false|
000000054|2|000000082|50|false||false|
000000054|3|000000013|15|false||false|
000000055|1|000000002|0|false||false|
000000055|2|000000082|0|false||false|
000000056|1|000000088|50|false||false|
000000056|2|000000087|0|false||false|
000000056|3|000000028|0|false||false|
000000056|4|000000043|0|false||false|
000000056|5|000003334|0|false||false|
000000057|1|000000002|0|false||false|
000000057|2|000000008|0|false||false|
000000057|3|000000017|5|false||false|
000000057|4|000000078|0|false||false|
000000057|5|000000025|5|false||false|
000000057|6|000000028|10|false||false|
000000058|1|000000090|50|false||false|
000000058|2|000000002|0|false||false|
000000058|3|000000009|0|false||false|
000000058|4|000000089|0|false||false|
000000058|5|000003335|0|false||false|
000000058|6|000000028|0|false||false|
000000058|7|000003336|0|false||false|
000000058|8|000000037|0|false||false|
000000058|9|000000043|0|false||false|
000000058|10|000000058|0|false||false|
000000058|11|000003337|20|false||false|
000000059|1|000000013|15|false||false|
000000059|2|000003333|40|false||false|
000000059|3|000000093|0|false||false|
000000060|1|000000098|0|false||false|
000000060|1|000002944|0|false||true|
000000060|2|000000098|0|false||true|
000000060|2|000000133|0|false||false|
000000060|3|000002944|0|false||false|
000000060|3|000000105|5|false||true|
000000060|4|000000187|10|false||false|
000000060|4|000000106|5|false||true|
000000060|5|000002978|10|false||false|
000000060|5|000000107|5|false||true|
000000060|6|000000117|0|false||false|
000000060|6|000000108|5|false||true|
000000060|7|000000118|0|false||true|
000000060|7|000000129|0|false||false|
000000060|8|000002424|0|false||true|
000000060|9|000002977|0|false||true|
000000060|10|000000180|5|false||true|
000000060|11|000000144|0|false||true|
000000060|12|000000182|5|false||true|
000000060|13|000000183|10|false||true|
000000060|14|000000185|5|false||true|
000000060|15|000000186|5|false||true|
000000060|16|000000151|0|false||true|
000000060|17|000000191|20|false||true|
