datasheet_id|line|ability_id|is_index_wargear|cost|model|is_other_wargear|
000000001|1|000000002|false|0||false|
000000001|2|000005745|false|0||false|
000000001|3|000005748|false|0||false|
000000001|4|000005749|false|0||false|
000000002|1|000000002|false|0||false|
000000002|2|000005745|false|0||false|
000000002|3|000005748|false|0||false|
000000002|4|000005750|false|0||false|
000000002|5|000005749|false|0||false|
000000003|1|000000002|false|0||false|
000000003|2|000005745|false|0||false|
000000003|3|000005751|false|0||false|
000000003|4|000005748|false|0||false|
000000004|1|000000002|false|0||false|
000000004|2|000005745|false|0||false|
000000004|3|000000007|false|0||false|
000000005|1|000000002|false|0||false|
000000005|2|000000003|false|0||false|
000000005|3|000002957|false|0||false|
000000005|4|000000009|false|0||false|
000000005|5|000000010|false|0||true|
000000006|1|000000002|false|0||false|
000000006|2|000005745|false|0||false|
000000006|3|000000009|false|0||false|
000000006|4|000000010|false|5||true|
000000006|5|000004121|false|30||true|
000000007|1|000000002|false|0||false|
000000007|2|000000003|false|0||false|
000000007|3|000002957|false|0||false|
000000007|4|000000009|false|0||false|
000000007|5|000003914|false|20||false|
000000008|1|000000002|false|0||false|
000000008|2|000005745|false|0||false|
000000008|3|000004115|false|0||false|
000000008|4|000005746|false|0||false|
000000008|5|000004114|false|0||false|
000000008|6|000000014|false|0||false|
000000009|1|000000002|false|0||false|
000000009|2|000005745|false|0||false|
000000009|3|000000018|false|0||false|
000000009|4|000000017|false|0||false|
000000009|5|000000016|false|5||true|
000000010|1|000000002|false|0||false|
000000010|2|000005745|false|0||false|
000000010|3|000000019|false|0||false|
000000010|4|000002980|false|0||false|
000000010|5|000000021|false|0||false|
000000010|6|000002981|false|0||false|
000000011|1|000000002|false|0||false|
000000011|2|000005745|false|0||false|
000000011|3|000000023|false|0||false|
000000011|4|000000025|false|0||false|
000000011|5|000005748|false|0||false|
000000011|6|000002979|false|0||false|
000000011|7|000000024|false|0||false|
000000011|8|000000022|false|0||false|
000000012|1|000000002|false|0||false|
000000012|2|000005745|false|0||false|
000000012|3|000005767|false|0||false|
000000012|4|000005768|false|5||true|
000000013|1|000000002|false|0||false|
000000013|2|000005745|false|0||false|
000000013|3|000005763|false|0||false|
000000013|4|000005764|false|0||false|
000000013|5|000000027|false|5||true|
000000014|1|000000002|false|0||false|
000000014|2|000000003|false|0||false|
000000014|3|000002957|false|0||false|
000000014|4|000003916|false|0||false|
000000014|5|000003915|false|0||false|
000000015|1|000000002|false|0||false|
000000015|2|000005745|false|0||false|
000000015|3|000000031|false|0||false|
000000015|4|000000032|false|0||false|
000000015|5|000000030|false|0||false|
000000015|6|000002985|false|0||false|
000000016|1|000000002|false|0||false|
000000016|2|000000003|false|0||false|
000000016|3|000005745|false|0||false|
000000017|1|000005745|false|0||false|
000000017|2|000005761|false|0||false|
000000017|3|000005762|false|0||false|
000000018|1|000000002|false|0||false|
000000018|2|000005745|false|0||false|
000000018|3|000002988|false|0||false|
000000018|4|000000036|false|5||true|
000000018|5|000000035|false|5||true|
000000019|1|000000002|false|0||false|
000000019|2|000000003|false|0||false|
000000019|3|000005745|false|0||false|
000000019|4|000005765|false|0||false|
000000019|5|000005766|false|0||false|
000000020|1|000000002|false|0||false|
000000020|2|000000003|false|0||false|
000000020|3|000005745|false|0||false|
000000020|4|000000039|false|0||false|
000000020|5|000000040|false|5||true|
000000021|1|000000002|false|0||false|
000000021|2|000000003|false|0||false|
000000021|3|000005745|false|0||false|
000000021|4|000000043|false|5||true|
000000022|1|000000002|false|0||false|
000000022|2|000005745|false|0||false|
000000022|3|000000044|false|0||false|
000000024|1|000000002|false|0||false|
000000024|2|000000003|false|0||false|
000000024|3|000005745|false|0||false|
000000025|1|000000002|false|0||false|
000000025|2|000000003|false|0||false|
000000025|3|000005745|false|0||false|
000000025|4|000000047|false|0||false|
000000025|5|000000046|false|0||false|
000000025|6|000002989|false|0||false|
000000025|7|000000040|false|5||true|
000000025|8|000005769|false|10||true|
000000026|1|000000002|false|0||false|
000000026|2|000000048|false|0||false|
000000026|3|000005745|false|0||false|
000000026|4|000004343|false|0||false|
000000026|5|000003011|false|0||false|
000000027|1|000000002|false|0||false|
000000027|2|000000003|false|0||false|
000000027|3|000005745|false|0||false|
000000027|4|000000051|false|0||false|
000000027|5|000003004|false|0||false|
000000028|1|000000002|false|0||false|
000000028|2|000000003|false|0||false|
000000028|3|000000048|false|0||false|
000000028|4|000005745|false|0||false|
000000028|5|000005771|false|0||false|
000000028|6|000005775|false|0||false|
000000028|7|000005774|false|5||true|
000000029|1|000000048|false|0||false|
000000029|2|000005745|false|0||false|
000000029|3|000000057|false|0||false|
000000029|4|000005779|false|0||false|
000000029|5|000000055|false|0||false|
000000029|6|000000056|false|0||false|
000000030|1|000000048|false|0||false|
000000030|2|000005745|false|0||false|
000000030|3|000000055|false|0||false|
000000030|4|000000056|false|0||false|
000000030|5|000000062|false|0||false|
000000030|6|000000057|false|0||false|
000000030|7|000005779|false|0||false|
000000030|8|000000060|false|0||true|
000000031|1|000000048|false|0||false|
