datasheet_id|stratagem_id|
000000001|000002967002|
000000001|000002974016|
000000001|000003326004|
000000001|000003325002|
000000001|000002974021|
000000001|000002973002|
000000001|000006076009|
000000001|000002974015|
000000001|000002974011|
000000001|000002974012|
000000001|000002970002|
000000001|000002972002|
000000001|000002974009|
000000001|000002968002|
000000002|000002974016|
000000002|000002967002|
000000002|000002974021|
000000002|000003326004|
000000002|000003325002|
000000002|000002968002|
000000002|000002974009|
000000002|000002973002|
000000002|000002974015|
000000002|000002974012|
000000002|000002974011|
000000002|000002970002|
000000003|000002974021|
000000003|000002974012|
000000003|000002970002|
000000003|000002967002|
000000003|000002968002|
000000003|000002974011|
000000003|000006084002|
000000003|000002974016|
000000003|000006084005|
000000003|000006084004|
000000003|000003319002|
000000003|000002974009|
000000003|000002969002|
000000004|000002974012|
000000004|000002972002|
000000004|000002967002|
000000004|000002974009|
000000004|000002974016|
000000004|000002970002|
000000004|000003326004|
000000004|000002968002|
000000004|000002974011|
000000004|000002974015|
000000004|000002973002|
000000005|000002974016|
000000005|000002970002|
000000005|000003326004|
000000005|000002973002|
000000005|000002972002|
000000005|000002974009|
000000005|000002968002|
000000005|000002974012|
000000005|000002967002|
000000005|000002974011|
000000005|000003322002|
000000006|000002967002|
000000006|000002968002|
000000006|000002970002|
000000006|000003322002|
000000006|000002974012|
000000006|000002974009|
000000006|000002974015|
000000006|000002974011|
000000006|000006076009|
000000006|000002974026|
000000006|000002973002|
000000006|000003326004|
000000006|000002974016|
000000006|000002974021|
000000007|000002974026|
000000007|000006084002|
000000007|000006084004|
000000007|000006084005|
000000007|000002968002|
000000007|000003322002|
000000007|000003319002|
000000007|000002970002|
000000007|000002974011|
000000007|000002974021|
000000007|000002974012|
000000007|000002974009|
000000007|000002969002|
000000007|000002967002|
000000007|000002974016|
000000008|000002967002|
000000008|000003325002|
000000008|000002974021|
000000008|000002974009|
000000009|000002974005|
000000009|000002974009|
000000009|000003326004|
000000009|000002974015|
000000009|000002973002|
000000009|000002974016|
000000009|000003325002|
000000010|000002974015|
000000010|000003326004|
000000010|000002967002|
000000010|000002974016|
000000010|000002974009|
000000011|000002974016|
000000011|000002974009|
000000011|000006076005|
000000011|000002974015|
000000011|000002972002|
000000011|000003326004|
000000012|000002972002|
000000012|000002974015|
000000012|000002968002|
000000012|000002967002|
000000012|000002973002|
000000012|000002974016|
000000012|000003326004|
000000012|000002974012|
000000012|000002974009|
000000012|000002970002|
000000012|000002974011|
000000013|000002972002|
000000013|000003326004|
000000013|000002968002|
000000013|000002974009|
000000013|000002974015|
000000013|000002973002|
000000013|000002974016|
000000013|000002974011|
000000013|000002974012|
000000013|000002970002|
000000013|000002967002|
000000014|000002968002|
000000014|000002974021|
000000014|000002967002|
000000014|000002974009|
000000014|000006084002|
000000014|000006084004|
000000014|000006084005|
000000014|000002970002|
000000014|000002974016|
000000014|000002974012|
000000014|000003319002|
000000014|000002974011|
000000014|000002969002|
000000015|000003326004|
000000015|000002970002|
000000015|000002974016|
000000015|000002974009|
000000015|000002974015|
000000016|000002970002|
000000016|000002974023|
000000016|000002973002|
