datasheet_id|keyword|model|is_faction_keyword|
000000001|Character||false|
000000001|Infantry||false|
000000001|Warboss||false|
000000001|<Clan>||true|
000000001|Ork||true|
000000002|Character||false|
000000002|Infantry||false|
000000002|Mega Armour||false|
000000002|Warboss||false|
000000002|<Clan>||true|
000000002|Ork||true|
000000003|Biker||false|
000000003|Speed Freeks||false|
000000003|Character||false|
000000003|Speedboss||false|
000000003|Ork||true|
000000003|<Clan>||true|
000000004|Infantry||false|
000000004|Weirdboy||false|
000000004|Psyker||false|
000000004|Character||false|
000000004|<Clan>||true|
000000004|Ork||true|
000000005|Gretchin|Grot Oiler|false|
000000005|Grot Oiler|Grot Oiler|false|
000000005|Infantry|Big Mek|false|
000000005|Infantry|Grot Oiler|false|
000000005|Character|Big Mek|false|
000000005|Big Mek|Big Mek|false|
000000005|<Clan>||true|
000000005|Ork||true|
000000006|Mega Armour||false|
000000006|Infantry||false|
000000006|Character||false|
000000006|Big Mek||false|
000000006|<Clan>||true|
000000006|Ork||true|
000000007|Big Mek||false|
000000007|Character||false|
000000007|Speed Freeks||false|
000000007|Biker||false|
000000007|<Clan>||true|
000000007|Ork||true|
000000008|Character||false|
000000008|Warboss||false|
000000008|Monster||false|
000000008|Supreme Commander||false|
000000008|Ghazghkull Thraka||false|
000000008|Goffs||true|
000000008|Ork||true|
000000009|Character||false|
000000009|Flash Gitz||false|
000000009|Kaptin Badrukk||false|
000000009|Infantry||false|
000000009|Warboss||false|
000000009|Ork||true|
000000009|Freebooterz||true|
000000010|Fly||false|
000000010|Jump Pack||false|
000000010|Infantry||false|
000000010|Stormboy||false|
000000010|Boss Zagstruk||false|
000000010|Character||false|
000000010|Ork||true|
000000010|Goffs||true|
000000011|Kommando||false|
000000011|Character||false|
000000011|Boss Snikrot||false|
000000011|Infantry||false|
000000011|Ork||true|
000000011|Blood Axes||true|
000000012|Character||false|
000000012|Mek||false|
000000012|Infantry||false|
000000012|<Clan>||true|
000000012|Ork||true|
000000013|Painboy||false|
000000013|Character||false|
000000013|Infantry||false|
000000013|<Clan>||true|
000000013|Ork||true|
000000014|Biker||false|
000000014|Character||false|
000000014|Painboy||false|
